"","Provider.ID","Hospital.Name","Total.Performance.Score","Measure.Name","Measure.ID","Mortality.Rate"
"1",340143,"CATAWBA VALLEY MEDICAL CENTER",22.2024,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.3
"2",420002,"PIEDMONT MEDICAL CENTER",18.3571,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.4
"3",10012,"DEKALB REGIONAL MEDICAL CENTER",33.9583,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.6
"4",50261,"SIERRA VIEW MEDICAL CENTER",17.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.6
"5",490020,"JOHN RANDOLPH MEDICAL CENTER",25.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.7
"6",170017,"SUSAN B ALLEN MEMORIAL HOSPITAL",32.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.8
"7",40004,"WASHINGTON REGIONAL MEDICAL CENTER",21.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.8
"8",100023,"CITRUS MEMORIAL HOSPITAL",24.8452,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.8
"9",170074,"GEARY COMMUNITY HOSPITAL",38.0833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.8
"10",260078,"OZARKS MEDICAL CENTER",49.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",10.9
"11",10007,"MIZELL MEMORIAL HOSPITAL",27.5556,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11
"12",370018,"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",31.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11
"13",500026,"SWEDISH EDMONDS HOSPITAL",36.4881,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11
"14",110191,"PIEDMONT HENRY HOSPITAL",18.6548,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11
"15",140013,"PROCTOR HOSPITAL",28.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.1
"16",420036,"SPRINGS MEMORIAL HOSPITAL",41.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.2
"17",450587,"BROWNWOOD REGIONAL MEDICAL CENTER",25.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.2
"18",10099,"D W MCMILLAN MEMORIAL HOSPITAL",29,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.3
"19",330027,"NASSAU UNIVERSITY MEDICAL CENTER",24.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.3
"20",490045,"NOVANT HEALTH UVA PRINCE WILLIAM MEDICAL CENTER",21.5238,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.4
"21",110189,"FANNIN REGIONAL HOSPITAL",46.25,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.4
"22",250009,"MAGNOLIA REGIONAL HEALTH CENTER",37.2738,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.4
"23",110044,"PHOEBE SUMTER MEDICAL CENTER",37.5,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.5
"24",290012,"ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS",36.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.5
"25",440068,"STARR REGIONAL MEDICAL CENTER ATHENS",37.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.5
